Convention type,Pattern,Example,Frequency,Scope
imports,Static imports from org.exist.indexing.lucene,org.exist.indexing.lucene.LuceneIndexConfig.MATCH_ATTR,,project-wide
imports,Static imports from java.util.regex,java.util.regex.Pattern.CASE_INSENSITIVE,,project-wide
imports,Static imports from org.exist.xquery.modules.cache,org.exist.xquery.modules.cache.CacheModule.*,,project-wide
imports,Static imports from org.exist.xquery.modules.compression,org.exist.xquery.modules.compression.CompressionModule.functionSignatures,,project-wide
imports,Static imports from org.exist.xquery.modules.file,org.exist.xquery.modules.file.FileErrorCode.DIRECTORY_NOT_FOUND,,project-wide
imports,Static imports from org.exist.xquery.modules.image,org.exist.xquery.modules.image.ImageModule.functionSignatures,,project-wide
imports,Static imports from org.exist.xquery.modules.mail,org.exist.xquery.modules.mail.Util.executeQuery,,project-wide
imports,Static imports from org.exist.xquery.modules.sql,org.exist.xquery.modules.sql.SQLModule.*,,project-wide
imports,Static imports from org.exist.xquery.modules.xmldiff,org.exist.xquery.modules.xmldiff.XmlDiffModule.functionSignature,,project-wide
imports,Static imports from org.exist.xquery.modules.xslfo,org.exist.xquery.modules.xslfo.XSLFOModule.functionSignatures,,project-wide
