Build tool,Path,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-deploy,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-jmx,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.ee10,jetty-ee10-annotations,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,jakarta.annotation,jakarta.annotation-api,2.1.1,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-annotations,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.ee10,jetty-ee10-plus,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,jakarta.enterprise,jakarta.enterprise.cdi-api,4.0.1,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,jakarta.enterprise,jakarta.enterprise.lang-model,4.0.1,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,jakarta.inject,jakarta.inject-api,2.0.1,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,jakarta.interceptor,jakarta.interceptor-api,2.1.0,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,jakarta.transaction,jakarta.transaction-api,2.0.1,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-jndi,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-plus,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.ow2.asm,asm-commons,9.10,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.ow2.asm,asm-tree,9.10,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.ee10,jetty-ee10-servlet,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-session,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.ee10,jetty-ee10-webapp,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.ee,jetty-ee-webapp,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-xml,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.ee10.websocket,jetty-ee10-websocket-jakarta-server,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,jakarta.websocket,jakarta.websocket-api,2.2.0,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.ee10.websocket,jetty-ee10-websocket-servlet,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.websocket,jetty-websocket-core-server,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.ee10.websocket,jetty-ee10-websocket-jakarta-client,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,jakarta.websocket,jakarta.websocket-client-api,2.2.0,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-client,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-alpn-client,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.compression,jetty-compression-gzip,12.1.11,false,
