Source path,Owner class FQN,Field name,Serialized name,Serialized name source,Type FQN,Type resolution,Is collection,Is map,Is optional,Format,Required,Validations JSON,Example value
extensions/modules/cache/src/main/java/org/exist/xquery/modules/cache/CacheConfig.java,org.exist.xquery.modules.cache.CacheConfig,maximumSize,maximumSize,java-name,java.lang.Long,resolved,false,false,true,int64,false,{},
extensions/modules/cache/src/main/java/org/exist/xquery/modules/cache/CacheConfig.java,org.exist.xquery.modules.cache.CacheConfig,expireAfterAccess,expireAfterAccess,java-name,java.lang.Long,resolved,false,false,true,int64,false,{},
extensions/modules/cache/src/main/java/org/exist/xquery/modules/cache/CacheConfig.java,org.exist.xquery.modules.cache.CacheConfig,expireAfterWrite,expireAfterWrite,java-name,java.lang.Long,resolved,false,false,true,int64,false,{},
extensions/modules/cache/src/main/java/org/exist/xquery/modules/cache/CacheConfig.java,org.exist.xquery.modules.cache.CacheConfig$Permissions,putGroup,putGroup,java-name,java.lang.String,resolved,false,false,true,,false,{},
extensions/modules/cache/src/main/java/org/exist/xquery/modules/cache/CacheConfig.java,org.exist.xquery.modules.cache.CacheConfig$Permissions,getGroup,getGroup,java-name,java.lang.String,resolved,false,false,true,,false,{},
extensions/modules/cache/src/main/java/org/exist/xquery/modules/cache/CacheConfig.java,org.exist.xquery.modules.cache.CacheConfig$Permissions,removeGroup,removeGroup,java-name,java.lang.String,resolved,false,false,true,,false,{},
extensions/modules/cache/src/main/java/org/exist/xquery/modules/cache/CacheConfig.java,org.exist.xquery.modules.cache.CacheConfig$Permissions,clearGroup,clearGroup,java-name,java.lang.String,resolved,false,false,true,,false,{},
extensions/modules/expathrepo/src/main/java/org/exist/xquery/modules/expathrepo/Deploy.java,org.exist.xquery.modules.expathrepo.Deploy$RepoPackageLoader,repoURL,repoURL,java-name,java.lang.String,resolved,false,false,false,,false,{},
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction$MailAttachment,filename,filename,java-name,java.lang.String,resolved,false,false,false,,false,{},
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction$MailAttachment,mimeType,mimeType,java-name,java.lang.String,resolved,false,false,false,,false,{},
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction$MailAttachment,data,data,java-name,java.lang.String,resolved,false,false,false,,false,{},
extensions/modules/mail/src/test/java/org/exist/xquery/modules/mail/WriteMessageTest.java,org.exist.xquery.modules.mail.WriteMessageTest$Part,headerLines,headerLines,java-name,java.lang.String,resolved,true,false,false,,false,{},
extensions/modules/mail/src/test/java/org/exist/xquery/modules/mail/WriteMessageTest.java,org.exist.xquery.modules.mail.WriteMessageTest$Part,bodyLines,bodyLines,java-name,java.lang.String,resolved,true,false,false,,false,{},
extensions/modules/xslfo/src/main/java/org/exist/xquery/modules/xslfo/ApacheFopProcessorAdapter.java,org.exist.xquery.modules.xslfo.ApacheFopProcessorAdapter$FopAvalonConfigurationAdapter,avalonConfiguration,avalonConfiguration,java-name,org.apache.avalon.framework.configuration.Configuration,resolved,false,false,false,,false,{},
