Source path,Class name,Method name,Pattern type,Exception types,Handling strategy,Logging framework,Log level
exist-core/src/main/java/org/exist/xquery/DynamicTypeCheck.java,org.exist.xquery.DynamicTypeCheck,check,try-catch,XPathException,wrap,,
exist-core/src/main/java/org/exist/xquery/DynamicTypeCheck.java,org.exist.xquery.DynamicTypeCheck,check,try-catch,XPathException,wrap,,
exist-core/src/main/java/org/exist/xquery/DynamicTypeCheck.java,org.exist.xquery.DynamicTypeCheck,check,try-catch,XPathException,wrap,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetExists.java,org.exist.xquery.functions.request.GetExists,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetParameter.java,org.exist.xquery.functions.request.GetParameter,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/IsMultiPartContent.java,org.exist.xquery.functions.request.IsMultiPartContent,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetRequestAttribute.java,org.exist.xquery.functions.request.GetRequestAttribute,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetRemoteAddr.java,org.exist.xquery.functions.request.GetRemoteAddr,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetContextPath.java,org.exist.xquery.functions.request.GetContextPath,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetUploadedFileName.java,org.exist.xquery.functions.request.GetUploadedFileName,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetHostname.java,org.exist.xquery.functions.request.GetHostname,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetCookieNames.java,org.exist.xquery.functions.request.GetCookieNames,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetUploadedFileSize.java,org.exist.xquery.functions.request.GetUploadedFileSize,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetServerName.java,org.exist.xquery.functions.request.GetServerName,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetHeaderNames.java,org.exist.xquery.functions.request.GetHeaderNames,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetPathInfo.java,org.exist.xquery.functions.request.GetPathInfo,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetServerPort.java,org.exist.xquery.functions.request.GetServerPort,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetRemoteHost.java,org.exist.xquery.functions.request.GetRemoteHost,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetParameterNames.java,org.exist.xquery.functions.request.GetParameterNames,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetHeader.java,org.exist.xquery.functions.request.GetHeader,eval,throws-declaration,XPathException,propagate,,
